samples_name,Type 1
43,
255,
303,
202,
247,
243,
82,
299,
30,
275,
263,
218,
214,
254,
258,
302,
41,
312,
251,
49,
289,
7,
215,
279,
1,
204,
72,
24,
317,
23,
120,
39,
40,
226,
277,
288,
211,
260,
311,
266,
66,
179,
35,
233,
271,
331,
329,
9,
280,
17,
265,
114,
200,
262,
52,
229,
58,
284,
10,
6,
32,
85,
26,
249,
45,
236,
227,
8,
181,
278,
116,
154,
248,
301,
33,
330,
273,
207,
37,
51,
5,
272,
206,
285,
281,
156,
92,
283,
237,
19,
316,
327,
297,
267,
315,
314,
291,
245,
201,
264,
139,
257,
292,
150,
210,
293,
269,
12,
310,
268,
15,
256,
220,
328,
36,
87,
326,
286,
212,
102,
270,
296,
100,
222,
50,
313,
282,
274,
213,
101,
80,
239,
46,
252,
240,
79,
235,
2,
238,
25,
209,
29,
259,
18,
205,
77,
217,
300,
250,
147,
298,
230,
98,
223,
246,
224,
208,
290,
11,
93,
228,
261,
21,
47,
287,
234,
276,
242,
144,
225,
241,
216,
78,
221,
253,
231,
